a2ps 4.14-7
abcde 2.7.2-1
acpi 1.7-1
acpi_call 1.1.0-51
acpid 2.0.28-1
acpitool 0.5.1-6
aic94xx-firmware 30-9
alsa-oss 1.0.28-1
alsa-utils 1.1.3-1
android-tools 7.0.0_r21-1
android-udev 20161014-1
archey3 0.5-6
atril 1.16.1-1
autoconf 2.69-4
autofs 5.1.2-1
automake 1.15-2
bash 4.4.005-2
bash-completion 2.4-1
basket 1.81-7
bbswitch 0.8-55
bc 1.06.95-3
beep 1.3-3
bind 9.11.0.P1-2
binutils 2.27-1
bison 3.0.4-2
bleachbit 1.12-1
bluez 5.43-2
bluez-utils 5.43-2
brasero 3.12.1-2
bumblebee 3.2.1-12
bzip2 1.0.6-5
caja 1.16.1-1
cdrdao 1.2.3-9
cheese 3.22.1-1
chromium 55.0.2883.87-1
compton 0.1_beta2.5-4
coreutils 8.26-1
cower 16-1
cowsay 3.03-9
cpupower 4.8-1
cryptsetup 1.7.3-1
device-mapper 2.02.168-1
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
dmenu 4.6-1
dmidecode 3.0-1
dnsmasq 2.76-3
doge 3.5.0-2
dosfstools 4.0-3
dvd+rw-tools 7.1-7
e2fsprogs 1.43.3-1
ecm-tools 1.03-1
enigma 1.04-5
ethtool 1:4.8-1
evince 3.22.1-1
fakeroot 1.21-2
feh 2.18-1
figlet 2.2.5-2
file 5.29-1
filesystem 2016.12-2
findutils 4.6.0-2
firewalld 0.4.4.2-1
flashplugin 24.0.0.186-1
flex 2.6.1-1
gawk 4.1.4-2
gcc 6.2.1-1
gcc-libs 6.2.1-1
gcolor2 0.4-7
gdmap 0.8.1-4
gettext 0.19.8.1-2
glibc 2.24-2
gnome-sound-recorder 3.20.2-1
gourmet 0.17.4-4
gparted 0.27.0-1
gpick 0.2.5-6
gpicview 0.2.5-2
grep 2.26-1
groff 1.22.3-7
grub 1:2.02.beta3-4
gvfs 1.30.3-1
gvfs-mtp 1.30.3-1
gzip 1.8-2
higan 101-1
htop 2.0.2-1
hunspell-en 2016.11.20-1
hunspell-fr 5.7-1
i3-gaps-git 4.13-2
i3status 2.10-2
icedtea-web 1.6.2-2
ifuse 1.1.3-3
imagemagick 6.9.6.8-1
inetutils 1.9.4-5
inxi 2.3.5-1
